iter	MultiClass
0	0.8724189229
1	0.6524808146
2	0.5189174288
3	0.4309322299
4	0.3680836676
5	0.3178699615
6	0.2783881188
7	0.2487032335
8	0.2258656523
9	0.2093023178
10	0.1939547998
11	0.1848813507
12	0.1770173083
13	0.1689024706
14	0.1622824791
15	0.1559679828
16	0.1521128017
17	0.1489174431
18	0.1471405702
19	0.14471252
20	0.1422486904
21	0.1388645844
22	0.1380900807
23	0.1356111118
24	0.1348601785
25	0.1324029474
26	0.1314736119
27	0.1304162846
28	0.1291876914
29	0.1289426213
30	0.1281155164
31	0.1272914141
32	0.1263117381
33	0.1251569283
34	0.1247951635
35	0.1226113675
36	0.1215655611
37	0.1213389511
38	0.1208117436
39	0.1188973805
40	0.118482634
41	0.1178076081
42	0.1168857581
43	0.1163159639
44	0.115781486
45	0.1150682625
46	0.1145168238
47	0.1135214458
48	0.1128323009
49	0.1121615142
50	0.1116387975
51	0.1110960541
52	0.1101882867
53	0.1099940787
54	0.1096335375
55	0.1094896725
56	0.1089777203
57	0.1086859528
58	0.1083105281
59	0.1080133071
60	0.1074868935
61	0.1070827845
62	0.1064593124
63	0.1061522779
64	0.1055555536
65	0.1050468214
66	0.1046190325
67	0.1042319858
68	0.1033357923
69	0.1030644706
70	0.1027867495
71	0.1026003553
72	0.1022911001
73	0.1020248613
74	0.1016063898
75	0.1013210952
76	0.1008319107
77	0.1002192088
78	0.1000758331
79	0.09968725099
80	0.09944421522
81	0.09917186648
82	0.09861288311
83	0.09853920183
84	0.09819966298
85	0.09769658124
86	0.09725682381
87	0.09675238442
88	0.09652474498
89	0.09640747824
90	0.09608925342
91	0.0960694641
92	0.09584223558
93	0.09549822829
94	0.09512469304
95	0.09493306161
96	0.09442961837
97	0.09426807441
98	0.09375714462
99	0.09332123121
100	0.09300689499
101	0.0925107474
102	0.09206477139
103	0.09188593669
104	0.09180303702
105	0.09169995518
106	0.09147463924
107	0.09134785316
108	0.09121260204
109	0.09096306975
110	0.09079064501
111	0.09060141935
112	0.09051589309
113	0.0903227699
114	0.09009815548
115	0.08979430185
116	0.08957969627
117	0.08924904419
118	0.08889645692
119	0.08848188624
120	0.08802163388
121	0.08764737649
122	0.08754654289
123	0.08739812946
124	0.08726800335
125	0.08707312596
126	0.08700784157
127	0.08676725878
128	0.08658380241
129	0.08630905987
130	0.0862275633
131	0.08593595334
132	0.08583733556
133	0.08555357219
134	0.08539527259
135	0.08528114205
136	0.0851525584
137	0.08488785772
138	0.08447984763
139	0.08437833968
140	0.08428556262
141	0.08415893845
142	0.08406737302
143	0.0837606013
144	0.08355315395
145	0.08311584199
146	0.08293284191
147	0.08258678513
148	0.08239067713
149	0.08221665454
