target,n_train,n_test,positive_rate_test,accuracy,f1,auc
poor_deck,375987,93997,0.03168186218709108,0.9598923369894784,0.6118204283360791,0.994957174345055
poor_super,380525,95132,0.03881974519614851,0.9683492410545348,0.7103972299701837,0.9976980772631704
poor_sub,380413,95104,0.04484564266487214,0.9723145188425303,0.7640469576126893,0.9973242070691603
