,precision,recall,f1-score,support
arch,0.4444444444444444,0.14285714285714285,0.21621621621621623,28.0
girder_beam,0.9708886618998979,0.9932079414838035,0.9819214876033058,1914.0
rigid_frame,0.5,0.14814814814814814,0.22857142857142856,27.0
truss,0.8,0.6451612903225806,0.7142857142857143,31.0
accuracy,0.9645,0.9645,0.9645,0.9645
macro avg,0.6788332765860856,0.48234363070291875,0.5352487116691662,2000.0
weighted avg,0.9545126716604244,0.9645,0.9568830335205335,2000.0
